checkingAccountStatus	durationMonths	creditHistory	purpose	creditAmount	savingsAccount	employmentSince	installmentRatePercent	personalStatusSex	otherDebtors	residenceSince	property	ageYears	otherInstallments	housing	existingCreditsThisBank	job	dependentsCount	telephone	foreignWorker	targetClass	creditHistory_A30	creditHistory_A31	creditHistory_A32	creditHistory_A33	creditHistory_A34	creditHistory_predicted
A13	s2_12_15	A32	A42	s2_1262_1906	A61	A72	s3_3_up	A92	A101	s1_below_2	A122	s3_30_36	A141	A152	s1_below_2	A174	s1_below_2	A192	A201	1	0.0312327	0.0611906	0.650583	0.102216	0.154778	A32
A12	s5_30_up	A34	A43	s5_4720_up	A61	A72	s3_3_up	A93	A101	s2_2_up	A122	s1_below_26	A143	A152	s2_2_up	A172	s1_below_2	A191	A201	0	0.0168738	0.00836312	0.226136	0.108475	0.640152	A34
A14	s5_30_up	A34	A46	s5_4720_up	A61	A73	s1_below_2	A93	A101	s2_2_up	A124	s3_30_36	A141	A153	s1_below_2	A173	s1_below_2	A192	A201	0	0.0858224	0.168142	0.233178	0.280873	0.231984	A33
A13	s3_15_24	A32	A43	s3_1906_2852	A61	A73	s3_3_up	A93	A102	s2_2_up	A121	s4_36_45	A142	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00905469	0.177398	0.498179	0.226367	0.0890017	A32
A13	s1_below_12	A32	A44	s1_below_1262	A61	A73	s2_2_3	A93	A101	s2_2_up	A123	s4_36_45	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.0900834	0.0446478	0.658507	0.096518	0.110243	A32
A12	s1_below_12	A32	A43	s1_below_1262	A61	A73	s3_3_up	A93	A101	s2_2_up	A121	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0104989	0.0572387	0.908165	0.0112488	0.0128484	A32
A14	s5_30_up	A32	A43	s3_1906_2852	A63	A75	s3_3_up	A93	A101	s2_2_up	A123	s3_30_36	A141	A152	s1_below_2	A174	s1_below_2	A191	A201	1	0.0180472	0.212147	0.661959	0.0590637	0.048783	A32
A12	s2_12_15	A32	A43	s1_below_1262	A63	A73	s3_3_up	A91	A101	s1_below_2	A123	s2_26_30	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.0508373	0.151178	0.681302	0.0544685	0.0622143	A32
A12	s3_15_24	A33	A45	s5_4720_up	A61	A73	s2_2_3	A93	A101	s2_2_up	A121	s4_36_45	A143	A152	s1_below_2	A172	s2_2_up	A192	A201	0	0.0964662	0.0478113	0.117528	0.62014	0.118055	A33
A11	s5_30_up	A34	A41	s5_4720_up	A62	A74	s1_below_2	A94	A101	s2_2_up	A123	s1_below_26	A143	A151	s2_2_up	A173	s1_below_2	A191	A201	0	0.0898622	0.0445381	0.109482	0.096281	0.659837	A34
A11	s5_30_up	A34	A41	s5_4720_up	A61	A75	s3_3_up	A92	A101	s2_2_up	A124	s5_45_up	A142	A153	s2_2_up	A172	s1_below_2	A191	A201	0	0.0449097	0.146644	0.0305047	0.612405	0.165537	A33
A14	s1_below_12	A34	A40	s2_1262_1906	A61	A72	s3_3_up	A92	A101	s2_2_up	A123	s3_30_36	A143	A152	s2_2_up	A174	s1_below_2	A191	A201	0	0.21152	0.0174725	0.0429502	0.0377715	0.690286	A34
A14	s5_30_up	A32	A43	s3_1906_2852	A63	A75	s3_3_up	A93	A101	s2_2_up	A123	s4_36_45	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00746131	0.0221881	0.736316	0.0879368	0.146098	A32
A11	s1_below_12	A32	A41	s2_1262_1906	A63	A71	s1_below_2	A92	A101	s2_2_up	A122	s1_below_26	A143	A151	s1_below_2	A171	s1_below_2	A192	A201	1	0.0263536	0.0783692	0.83479	0.028236	0.0322513	A32
A14	s1_below_12	A34	A40	s5_4720_up	A61	A73	s1_below_2	A93	A101	s2_2_up	A122	s4_36_45	A143	A152	s2_2_up	A172	s1_below_2	A191	A201	0	0.00769042	0.0419273	0.0562167	0.131836	0.76233	A34
A14	s2_12_15	A32	A43	s3_1906_2852	A62	A73	s3_3_up	A92	A102	s2_2_up	A121	s2_26_30	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00933485	0.0046266	0.807477	0.110018	0.0685436	A32
A12	s4_24_30	A33	A42	s3_1906_2852	A65	A72	s3_3_up	A93	A101	s2_2_up	A122	s2_26_30	A141	A152	s1_below_2	A172	s1_below_2	A191	A201	0	0.0268119	0.315176	0.49779	0.0877479	0.0724744	A32
A12	s4_24_30	A33	A41	s5_4720_up	A61	A75	s1_below_2	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s2_2_up	A174	s1_below_2	A192	A201	0	0.0170856	0.00846807	0.124895	0.201366	0.648186	A34
A14	s2_12_15	A32	A43	s2_1262_1906	A61	A73	s3_3_up	A93	A101	s2_2_up	A123	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0104989	0.0572387	0.908165	0.0112488	0.0128484	A32
A14	s3_15_24	A32	A41	s4_2852_4720	A65	A73	s2_2_3	A93	A101	s1_below_2	A122	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.0129196	0.0064033	0.802757	0.0830546	0.0948656	A32
A12	s5_30_up	A33	A40	s3_1906_2852	A61	A75	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A141	A153	s2_2_up	A173	s1_below_2	A192	A201	0	0.0775376	0.15191	0.0351114	0.211466	0.523974	A34
A14	s1_below_12	A31	A40	s1_below_1262	A65	A73	s1_below_2	A93	A103	s2_2_up	A121	s2_26_30	A142	A152	s1_below_2	A172	s2_2_up	A191	A201	0	0.0118608	0.426022	0.491442	0.0269565	0.0437191	A32
A12	s2_12_15	A32	A43	s5_4720_up	A65	A71	s2_2_3	A93	A101	s1_below_2	A124	s5_45_up	A143	A152	s1_below_2	A174	s1_below_2	A192	A201	1	0.00936033	0.0510315	0.581602	0.0601735	0.297833	A32
A14	s5_30_up	A34	A43	s5_4720_up	A61	A73	s2_2_3	A92	A101	s2_2_up	A123	s3_30_36	A142	A152	s2_2_up	A173	s1_below_2	A191	A201	0	0.0394655	0.128867	0.0268067	0.538166	0.266695	A33
A13	s3_15_24	A32	A40	s3_1906_2852	A61	A75	s3_3_up	A92	A101	s2_2_up	A123	s1_below_26	A143	A152	s1_below_2	A174	s1_below_2	A191	A201	1	0.00872153	0.00432262	0.966938	0.0093445	0.0106734	A32
A11	s5_30_up	A34	A42	s5_4720_up	A61	A72	s3_3_up	A92	A102	s2_2_up	A124	s1_below_26	A143	A151	s2_2_up	A172	s1_below_2	A192	A201	0	0.0843034	0.00696384	0.102709	0.0150542	0.790969	A34
A12	s1_below_12	A32	A49	s2_1262_1906	A61	A73	s2_2_3	A94	A101	s1_below_2	A121	s2_26_30	A141	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.0717993	0.140668	0.520206	0.23498	0.0323465	A32
A12	s3_15_24	A34	A43	s2_1262_1906	A65	A75	s3_3_up	A93	A103	s2_2_up	A121	s5_45_up	A143	A152	s2_2_up	A173	s1_below_2	A192	A201	0	0.0103342	0.00512189	0.0755425	0.0110723	0.897929	A34
A12	s5_30_up	A30	A49	s3_1906_2852	A61	A75	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A143	A153	s1_below_2	A174	s1_below_2	A192	A201	0	0.364389	0.0602002	0.147982	0.130139	0.297291	A30
A12	s5_30_up	A30	A49	s5_4720_up	A61	A73	s2_2_3	A93	A101	s2_2_up	A123	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	0	0.270362	0.0223331	0.603881	0.0482789	0.0551445	A32
A14	s4_24_30	A32	A43	s4_2852_4720	A61	A72	s3_3_up	A92	A101	s2_2_up	A122	s2_26_30	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.00933485	0.0046266	0.807477	0.110018	0.0685436	A32
A14	s4_24_30	A32	A45	s5_4720_up	A65	A75	s3_3_up	A93	A101	s2_2_up	A122	s5_45_up	A143	A152	s2_2_up	A173	s2_2_up	A192	A201	1	0.0348482	0.0172717	0.254739	0.224024	0.469117	A34
A14	s2_12_15	A32	A43	s3_1906_2852	A61	A72	s2_2_3	A92	A101	s2_2_up	A123	s2_26_30	A141	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0228242	0.0447167	0.733819	0.136945	0.0616954	A32
A12	s2_12_15	A32	A40	s1_below_1262	A64	A73	s3_3_up	A94	A101	s1_below_2	A121	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0263346	0.0783128	0.673768	0.0282156	0.193369	A32
A14	s5_30_up	A32	A46	s2_1262_1906	A61	A73	s3_3_up	A93	A101	s2_2_up	A124	s4_36_45	A142	A153	s1_below_2	A173	s1_below_2	A192	A201	1	0.0316404	0.103315	0.773696	0.0719099	0.0194378	A32
A14	s5_30_up	A32	A43	s3_1906_2852	A65	A73	s3_3_up	A92	A101	s2_2_up	A123	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00777526	0.0231218	0.862027	0.0499838	0.0570919	A32
A14	s5_30_up	A32	A41	s5_4720_up	A61	A73	s1_below_2	A92	A101	s2_2_up	A122	s3_30_36	A141	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.111903	0.219239	0.557405	0.0610382	0.0504138	A32
A14	s1_below_12	A34	A43	s1_below_1262	A65	A75	s3_3_up	A93	A101	s2_2_up	A122	s5_45_up	A143	A151	s2_2_up	A172	s1_below_2	A192	A201	0	0.0103342	0.00512189	0.0755425	0.0110723	0.897929	A34
A11	s1_below_12	A34	A410	s1_below_1262	A61	A75	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A141	A153	s2_2_up	A174	s2_2_up	A192	A201	0	0.150138	0.294148	0.067987	0.0818934	0.405834	A34
A12	s5_30_up	A34	A49	s5_4720_up	A61	A74	s2_2_3	A92	A101	s1_below_2	A121	s4_36_45	A141	A152	s2_2_up	A172	s1_below_2	A191	A201	0	0.514556	0.168018	0.0388344	0.0467778	0.231814	A30
A11	s5_30_up	A32	A46	s3_1906_2852	A65	A75	s3_3_up	A93	A101	s2_2_up	A124	s4_36_45	A143	A152	s1_below_2	A174	s1_below_2	A192	A201	1	0.0209861	0.0104013	0.920445	0.0224851	0.0256826	A32
A11	s2_12_15	A34	A41	s2_1262_1906	A61	A75	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A143	A153	s2_2_up	A174	s1_below_2	A191	A201	0	0.0239676	0.011879	0.0292004	0.0256796	0.909273	A34
A11	s5_30_up	A32	A43	s4_2852_4720	A61	A72	s3_3_up	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00858887	0.0255413	0.84759	0.0552142	0.063066	A32
A12	s1_below_12	A33	A43	s5_4720_up	A61	A74	s2_2_3	A93	A101	s2_2_up	A122	s5_45_up	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.00936033	0.0510315	0.581602	0.0601735	0.297833	A32
A14	s5_30_up	A30	A41	s5_4720_up	A65	A73	s2_2_3	A93	A101	s2_2_up	A122	s4_36_45	A143	A152	s1_below_2	A172	s2_2_up	A191	A201	0	0.101951	0.00842163	0.434736	0.0182056	0.436686	A34
A12	s5_30_up	A32	A42	s4_2852_4720	A61	A72	s2_2_3	A94	A101	s1_below_2	A122	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0429477	0.0212861	0.837192	0.0460154	0.0525592	A32
A14	s4_24_30	A32	A43	s5_4720_up	A65	A72	s1_below_2	A92	A101	s1_below_2	A123	s4_36_45	A143	A152	s2_2_up	A173	s1_below_2	A192	A201	1	0.0387343	0.115187	0.283147	0.0415011	0.521431	A34
A14	s3_15_24	A32	A43	s1_below_1262	A63	A75	s3_3_up	A93	A101	s2_2_up	A122	s5_45_up	A142	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.00988446	0.355034	0.342413	0.134788	0.157881	A31
A14	s3_15_24	A32	A49	s2_1262_1906	A62	A73	s3_3_up	A92	A101	s2_2_up	A122	s1_below_26	A143	A151	s1_below_2	A172	s1_below_2	A191	A201	1	0.0340417	0.016872	0.870953	0.0364732	0.04166	A32
A11	s4_24_30	A32	A410	s2_1262_1906	A61	A75	s3_3_up	A92	A103	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A172	s1_below_2	A192	A201	1	0.0900834	0.0446478	0.658507	0.096518	0.110243	A32
A11	s1_below_12	A32	A43	s3_1906_2852	A61	A75	s3_3_up	A93	A101	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A172	s1_below_2	A191	A201	1	0.00936033	0.0510315	0.581602	0.0601735	0.297833	A32
A14	s2_12_15	A34	A49	s2_1262_1906	A61	A73	s3_3_up	A92	A103	s2_2_up	A121	s2_26_30	A143	A152	s2_2_up	A174	s1_below_2	A192	A201	0	0.284268	0.0128083	0.188908	0.166131	0.347885	A34
A12	s3_15_24	A34	A42	s2_1262_1906	A61	A72	s3_3_up	A92	A101	s1_below_2	A122	s2_26_30	A143	A152	s2_2_up	A173	s1_below_2	A191	A201	0	0.024446	0.0121161	0.327616	0.157153	0.478669	A34
A12	s5_30_up	A32	A46	s5_4720_up	A62	A73	s1_below_2	A93	A101	s2_2_up	A124	s5_45_up	A143	A153	s1_below_2	A173	s2_2_up	A192	A201	1	0.0213022	0.0105579	0.67478	0.136943	0.156417	A32
A11	s3_15_24	A32	A40	s3_1906_2852	A62	A74	s3_3_up	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s1_below_2	A174	s2_2_up	A192	A201	1	0.0496901	0.0492555	0.787005	0.0532393	0.0608104	A32
A11	s2_12_15	A30	A45	s1_below_1262	A61	A74	s3_3_up	A93	A101	s2_2_up	A121	s2_26_30	A143	A152	s2_2_up	A173	s1_below_2	A191	A201	0	0.732885	0.0330216	0.0811723	0.0713849	0.0815363	A30
A14	s2_12_15	A34	A43	s1_below_1262	A61	A75	s3_3_up	A93	A101	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.00936033	0.0510315	0.581602	0.0601735	0.297833	A32
A11	s2_12_15	A34	A41	s2_1262_1906	A61	A75	s3_3_up	A93	A101	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.0134138	0.0398895	0.751752	0.0143719	0.180573	A32
A14	s2_12_15	A34	A43	s1_below_1262	A65	A75	s3_3_up	A92	A101	s2_2_up	A122	s3_30_36	A141	A152	s1_below_2	A172	s2_2_up	A191	A201	0	0.0404031	0.0791571	0.567168	0.0220381	0.291233	A32
A13	s4_24_30	A34	A42	s4_2852_4720	A65	A75	s3_3_up	A93	A102	s2_2_up	A124	s1_below_26	A143	A151	s2_2_up	A173	s1_below_2	A191	A201	0	0.37202	0.0307306	0.0755405	0.0664322	0.455276	A34
A12	s2_12_15	A32	A40	s2_1262_1906	A64	A75	s3_3_up	A93	A101	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.0104489	0.00517875	0.776541	0.0671714	0.14066	A32
A12	s5_30_up	A30	A49	s5_4720_up	A61	A72	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A143	A151	s1_below_2	A173	s1_below_2	A192	A201	0	0.364389	0.0602002	0.147982	0.130139	0.297291	A30
A14	s2_12_15	A34	A46	s3_1906_2852	A65	A74	s3_3_up	A92	A101	s2_2_up	A123	s5_45_up	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.0339785	0.0168406	0.455366	0.0364055	0.457409	A34
A12	s3_15_24	A32	A49	s3_1906_2852	A62	A73	s3_3_up	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.221376	0.10972	0.514899	0.129376	0.024629	A32
A12	s5_30_up	A34	A43	s3_1906_2852	A61	A75	s3_3_up	A93	A101	s2_2_up	A121	s4_36_45	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.00746131	0.0221881	0.736316	0.0879368	0.146098	A32
A12	s3_15_24	A33	A41	s5_4720_up	A65	A74	s3_3_up	A93	A101	s2_2_up	A122	s4_36_45	A141	A151	s2_2_up	A174	s2_2_up	A192	A201	0	0.0305711	0.359366	0.083061	0.100051	0.426951	A34
A14	s4_24_30	A32	A40	s2_1262_1906	A62	A75	s3_3_up	A94	A101	s2_2_up	A121	s4_36_45	A143	A151	s1_below_2	A172	s1_below_2	A191	A201	1	0.0900834	0.0446478	0.658507	0.096518	0.110243	A32
A12	s5_30_up	A32	A43	s3_1906_2852	A61	A74	s3_3_up	A93	A101	s2_2_up	A123	s1_below_26	A143	A151	s1_below_2	A173	s1_below_2	A191	A201	1	0.0104989	0.0572387	0.908165	0.0112488	0.0128484	A32
A14	s1_below_12	A33	A43	s1_below_1262	A61	A73	s3_3_up	A92	A101	s2_2_up	A121	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.00777526	0.0231218	0.862027	0.0499838	0.0570919	A32
A12	s1_below_12	A34	A42	s3_1906_2852	A61	A74	s3_3_up	A93	A101	s2_2_up	A123	s3_30_36	A143	A151	s1_below_2	A173	s1_below_2	A192	A201	0	0.0125733	0.0997066	0.628055	0.0134714	0.246194	A32
A14	s2_12_15	A32	A41	s3_1906_2852	A65	A72	s2_2_3	A94	A101	s2_2_up	A123	s2_26_30	A143	A151	s1_below_2	A173	s1_below_2	A192	A201	1	0.058165	0.0288281	0.779505	0.0623197	0.071182	A32
A12	s4_24_30	A34	A410	s5_4720_up	A61	A73	s2_2_3	A93	A102	s2_2_up	A123	s4_36_45	A143	A152	s2_2_up	A174	s2_2_up	A192	A201	0	0.0898622	0.0445381	0.109482	0.096281	0.659837	A34
A14	s3_15_24	A31	A40	s5_4720_up	A61	A75	s2_2_3	A93	A101	s2_2_up	A124	s4_36_45	A141	A152	s2_2_up	A174	s2_2_up	A192	A201	0	0.0141871	0.305746	0.038546	0.123814	0.517707	A34
A12	s2_12_15	A32	A40	s5_4720_up	A61	A74	s2_2_3	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0496901	0.0492555	0.787005	0.0532393	0.0608104	A32
A11	s4_24_30	A32	A42	s5_4720_up	A65	A72	s1_below_2	A92	A101	s2_2_up	A122	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A192	A202	1	0.012915	0.00640104	0.7238	0.0830253	0.173859	A32
A12	s2_12_15	A32	A49	s2_1262_1906	A63	A75	s1_below_2	A94	A101	s2_2_up	A121	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.0900834	0.0446478	0.658507	0.096518	0.110243	A32
A12	s1_below_12	A33	A49	s2_1262_1906	A62	A75	s1_below_2	A91	A101	s2_2_up	A123	s3_30_36	A141	A152	s2_2_up	A173	s2_2_up	A191	A201	0	0.350568	0.114471	0.026458	0.350568	0.157935	A30
